Column1;exporter;importer;secgroup;product;v2020;v2018;v2019
15432;AES;CIV;CAT;TT;656.673811324621;640.34043616545;590.043777853272
15816;AES;CMR;CAT;TT;352.621404887373;368.171744873713;407.823192938454
16200;AES;COL;CAT;TT;1277.7235755702;1346.98376248623;1456.24432422264
16584;AES;CSK;CAT;TT;11084.8555808922;11349.9163346715;10675.1000661115
16968;AES;CYP;CAT;TT;150.008863733942;190.849858093026;167.655845703855
17352;AES;CZE;CAT;TT;5884.32645750828;5100.19955621394;5222.45023440622
17736;AES;DEU;CAT;TT;36495.4380941662;40210.1909810376;37463.8715600013
18120;AES;DEV;CAT;TT;640762.884773745;640451.778172443;640337.199564336
18504;AES;DNK;CAT;TT;1243.05304694845;1520.06780192619;1377.76064125586
18888;AES;DZA;CAT;TT;828.113351358938;1170.97778998712;995.477490252544
19272;AES;E15;CAT;TT;116840.062084204;129730.173368061;127602.699539986
19656;AES;E28;CAT;TT;142624.220261185;154644.157863104;151448.3087216
20040;AES;ECU;CAT;TT;578.516144938788;862.647433912786;695.991789829326
20424;AES;EGY;CAT;TT;3303.13513647157;3863.73573580803;3982.51011063267
20808;AES;EM1;CAT;TT;241538.783368831;295781.033499123;278165.195101016
21192;AES;ENM;CAT;TT;28344.1543060471;27457.589331609;26600.8106074829
21576;AES;ESP;CAT;TT;7434.64632221582;8676.54054837314;8407.21979141988
21960;AES;EST;CAT;TT;545.92770999597;449.632746127429;535.989713405148
22344;AES;EUA;CAT;TT;37997.8444827307;31433.3568599168;35004.732207831
22728;AES;EUC;CAT;TT;178551.92321975;183334.610435988;183781.492351466
23112;AES;EUR;CAT;TT;107050.107054312;119869.768632435;116905.409998324
23496;AES;FIN;CAT;TT;1304.21259350701;1267.91046476836;1299.64226600472
23880;AES;FRA;CAT;TT;10776.0528494078;17167.6721162849;17091.1939689506
24264;AES;G20;CAT;TT;849689.778103719;828332.506439277;842701.78956399
24648;AES;G8;CAT;TT;377546.649116892;356107.547217452;370907.792217816
25032;AES;GAB;CAT;TT;118.021371241498;126.511583170148;140.249609556881
25416;AES;GBR;CAT;TT;14167.0069841057;15018.5744149472;15348.2206047647
25800;AES;GLF;CAT;TT;23306.6089112978;27630.5117900021;27341.1455522248
26184;AES;GOA;CAT;TT;16053.7894422168;20716.1221258892;19595.5486874953
26568;AES;GRC;CAT;TT;703.508568961152;734.459472902565;737.524752779149
26952;AES;HKG;CAT;TT;42849.9793469068;49452.8318338836;41462.3007461252
27336;AES;HRV;CAT;TT;161.595824600124;228.153135624151;200.184641614167
27720;AES;HUN;CAT;TT;3055.24072785301;2378.76574224575;2274.29379783661
28104;AES;IDN;CAT;TT;30998.5429425423;44402.1413862263;37200.5364506086
28488;AES;IND;CAT;TT;36443.8635553848;48591.2293688703;46852.9184398625
28872;AES;IRL;CAT;TT;1919.08031421793;1732.51175241196;2359.43107128807
29256;AES;ISL;CAT;TT;93.1047661998002;87.5621587897192;101.482326910705
29640;AES;ISR;CAT;TT;1404.70407085548;2554.20894494887;2481.21344689138
30024;AES;ITA;CAT;TT;7818.88183928903;7983.61749496261;8248.36132113144
30408;AES;JPN;CAT;TT;88365.1836405811;99873.3941460946;95811.9975625606
30792;AES;KAZ;CAT;TT;608.00129892439;678.026362349602;851.699674340867
31176;AES;KEN;CAT;TT;1390.61045885709;1013.78336360722;1208.75974610744
31560;AES;KGZ;CAT;TT;13.7450498848741;22.30799027353;21.4672748043468
31944;AES;KOR;CAT;TT;49274.9027105392;54853.9121959487;51605.5430081668
32328;AES;LBY;CAT;TT;216.853078390461;183.066657279571;264.308381492435
32712;AES;LKA;CAT;TT;2224.57599464582;3404.42195599706;2805.9744412535
33096;AES;LTU;CAT;TT;233.143924286964;180.653150714119;245.825569877905
33480;AES;LUX;CAT;TT;257.279097629178;352.558929948439;290.335698229655
33864;AES;LVA;CAT;TT;385.909285519977;431.595677099521;402.104925062077
34248;AES;MAR;CAT;TT;673.155048395411;723.30389115171;781.805388615772
34632;AES;MED;CAT;TT;42511.7361845967;54084.874020371;52788.937663956
35016;AES;MENA;CAT;TT;31297.1960230343;38059.9783305497;37644.0486337089
35400;AES;MERC;CAT;TT;10253.3236626252;11738.1727976441;11246.6711058358
35784;AES;MEX;CAT;TT;25292.545071557;23326.6433779108;26926.6261955124
36168;AES;MKD;CAT;TT;140.50295413905;159.710486713165;137.233492747421
36552;AES;MLT;CAT;TT;271.036379154218;428.955959687892;307.834514441428
36936;AES;MOA;CAT;TT;1177.36359855694;1462.33249385166;1419.65257095644
37320;AES;MYS;CAT;TT;41018.5149901714;58105.2274398179;50632.1575152526
37704;AES;NGA;CAT;TT;2032.24630235366;1593.46326761671;1718.72770476306
38088;AES;NLD;CAT;TT;24646.6321804753;24694.2445647333;24709.0864327158
38472;AES;NOR;CAT;TT;1825.05429729959;1700.68551181423;1791.69941157279
38856;AES;NRD;CAT;TT;6813.06573597382;6967.38843614367;6791.99110683859
