,exporter,importer,secgroup,product,v2020
200904,AFR,PAK,CAT,TT,12058.3090830425
201288,AFR,PED,CAT,TT,571670.152360201
201672,AFR,PER,CAT,TT,548.58922577322
202056,AFR,PHL,CAT,TT,2189.87565498239
202440,AFR,PMA,CAT,TT,47091.5360735797
202824,AFR,PMO,CAT,TT,110659.645618508
203208,AFR,POL,CAT,TT,4974.50516851168
203592,AFR,PRT,CAT,TT,3881.93045623143
203976,AFR,PRY,CAT,TT,225.545861322063
204360,AFR,RCEP,CAT,TT,355976.551461424
204744,AFR,ROM,CAT,TT,1036.47530308462
205128,AFR,RUS,CAT,TT,4455.45750595527
205512,AFR,SAF,CAT,TT,12656.0268411063
205896,AFR,SAU,CAT,TT,19461.117208606
206280,AFR,SEM,CAT,TT,836.260183173199
206664,AFR,SGP,CAT,TT,17160.3013022512
207048,AFR,SUN,CAT,TT,9154.89306762342
207432,AFR,SVK,CAT,TT,857.054885698255
207816,AFR,SVN,CAT,TT,885.913914713129
208200,AFR,SWE,CAT,TT,1400.52165737097
208584,AFR,THA,CAT,TT,16812.3919929438
208968,AFR,TUN,CAT,TT,2726.63693886315
209352,AFR,TUR,CAT,TT,24983.2548744324
209736,AFR,TWN,CAT,TT,16921.6578923273
210120,AFR,UE,CAT,TT,159190.011204837
